"ID de registro","Nombre de Línea de OT","Punto de venta.id","Punto de venta"
zcrm_707987000001926326,"Fund Grube Mogán Mall, OT, 30213, PUERTO RICO, Av. Tomás Roca Bosch, 9, 35130 Puerto Rico de Gran Canaria, Las Palmas. Mogán Mall, dd8231c233",zcrm_707987000000599352,"Fund Grube Mogán Mall"
zcrm_707987000001926327,"Fund Grube Yaiza, OT, 30214, PLAYA BLANCA, Yaiza,Avda Marítima 133, con C/La Tegala 56, aa8acf6045",zcrm_707987000000597428,"Fund Grube Yaiza"
zcrm_707987000001926328,"Fund Grube Safari, OT, 30214, ARONA, Av. las Américas, 5, 38660 Arona, Santa Cruz de Tenerife. CC Safari, local 31-32,41-4, 61e3c2649f",zcrm_707987000000599491,"Fund Grube Safari"
zcrm_707987000001926329,"Dalia 27, OT, 30215, LA LAGUNA, C/Herradores, 58, 33c2e75587",zcrm_707987000000599474,"Dalia 27"
zcrm_707987000001926330,"DOMINGO ALONSO, OT, 30216, d24dbcc019",zcrm_707987000004036048,"Domingo Alonso"
zcrm_707987000001926331,"Cala I, OT, 30217, PUERTO DEL ROSARIO, C/León y Castillo, nº 39, a24c1bfe15",zcrm_707987000000584785,"Cala I"
zcrm_707987000001926332,"Dalia 3 (Las Cucharas), OT, 30217, COSTA TEGUISE, Av. de las Islas Canarias, 14, 35509 Costa Teguise, Las Palmas, 2068c4e323",zcrm_707987000000584803,"Dalia 3 (Las Cucharas)"
zcrm_707987000001926333,"Esennia Faro Jandía, OT, 30217, JANDIA, CC Faro Jandia, Local 71-73, d8446eb546",zcrm_707987000000584817,"Esennia Faro Jandía"
zcrm_707987000001926334,"Esennia Meloneras, OT, 30217, VARADERO, C. Mar Mediterráneo, P38, 35100 Maspalomas, Las Palmas, a55875b7aa",zcrm_707987000000584821,"Esennia Meloneras"
zcrm_707987000001926335,"Edelweiss I, OT, 30217, CORRALEJO, Avda. Nuestra Sra. del Carmen, 54, 7ddfa75579",zcrm_707987000000584827,"Edelweiss I"
zcrm_707987000001926336,"Edelweiss I, OT, 30217, CORRALEJO, Avda. Nuestra Sra. del Carmen, 54, 9eb3d93536",zcrm_707987000000584827,"Edelweiss I"
